Date,Close,High,Low,Open,Volume,SMA,Std Dev,Upper Band,Lower Band,Signal,Market Return,Strategy Return,Cumulative Market Return,Cumulative Strategy Return
2014-09-17,457.3340148925781,468.17401123046875,452.4219970703125,465.864013671875,21056800,457.3340148925781,,,,0,,0.0,,1.0
2014-09-18,424.44000244140625,456.8599853515625,413.10400390625,456.8599853515625,34483200,440.8870086669922,23.25957926465836,487.4061671963089,394.3678501376755,0,-0.07192557601231186,-0.0,0.9280744239876881,1.0
2014-09-19,394.7959899902344,427.8349914550781,384.5320129394531,424.1029968261719,37919700,425.52333577473956,31.283084055202657,488.0895038851449,362.95716766433424,0,-0.06984264508683824,-0.0,0.8632552513789442,1.0
2014-09-20,408.90399169921875,423.2959899902344,389.88299560546875,394.6730041503906,36863600,421.3684997558594,26.86022241242715,475.0889445807137,367.64805493100505,0,0.03573491642945337,0.0,0.8941036056442575,1.0
2014-09-21,398.8210144042969,412.4259948730469,393.1809997558594,408.0849914550781,26580100,416.8590026855469,25.353135509628302,467.56527370480353,366.15273166629026,0,-0.02465854454739269,-0.0,0.8720563120544942,1.0
2014-09-22,402.1520080566406,406.9159851074219,397.1300048828125,399.1000061035156,24127600,414.4078369140625,23.45792970343803,461.32369632093855,367.49197750718645,0,0.008352101649706567,0.0,0.8793398150170415,1.0
2014-09-23,435.7909851074219,441.5570068359375,396.1969909667969,402.0920104980469,45099500,417.4625723702567,22.888466875863703,463.2395061219841,371.68563861852925,0,0.08364741783421215,0.0,0.9528943199420308,1.0
2014-09-24,423.2049865722656,436.11199951171875,421.1319885253906,435.7510070800781,30627700,418.1803741455078,21.287638603941236,460.7556513533903,375.6050969376253,0,-0.028880814347395978,-0.0,0.9253739559950969,1.0
2014-09-25,411.5740051269531,423.5199890136719,409.4679870605469,423.156005859375,26814400,417.44633314344617,20.03415729198203,457.51464772741025,377.3780185594821,0,-0.027483091679796234,-0.0,0.8999418187243879,1.0
2014-09-26,404.42498779296875,414.93798828125,400.0090026855469,411.4289855957031,21460800,416.1441986083984,19.332010180187257,454.80821896877296,377.4801782480239,0,-0.017369943788794973,-0.0,0.8843098799199595,1.0
2014-09-27,399.5199890136719,406.62298583984375,397.37200927734375,403.5559997558594,15029300,414.6329068270597,19.012574448978256,452.6580557250162,376.6077579291032,0,-0.012128327693262664,-0.0,0.8735846799139004,1.0
2014-09-28,377.1809997558594,401.0169982910156,374.3320007324219,399.47100830078125,23613300,411.5119145711263,21.10695297571627,453.7258205225588,369.29800861969375,0,-0.055914572166871124,-0.0,0.8247385662849817,1.0
2014-09-29,375.4670104980469,385.21099853515625,372.239990234375,376.9280090332031,32497700,408.73922964242786,22.54593838231136,453.8311064070506,363.64735287780513,0,-0.00454420890480145,-0.0,0.8209907819479363,1.0
2014-09-30,386.9440002441406,390.97698974609375,373.4429931640625,376.0880126953125,34707300,407.1824275425502,22.43097654874952,452.04438064004927,362.32047444505116,0,0.030567238732558177,0.0,0.8460862031769685,1.0
2014-10-01,383.614990234375,391.3789978027344,380.7799987792969,387.427001953125,26229400,405.61126505533855,22.45523967482488,450.52174440498834,360.70078570568876,0,-0.008603337970520819,-0.0,0.8388070376188422,1.0
2014-10-02,375.0719909667969,385.49700927734375,372.9460144042969,383.9880065917969,21777700,403.7025604248047,22.998095358736045,449.69875114227676,357.7063697073326,0,-0.0222697222086099,-0.0,0.8201270379044436,1.0
2014-10-03,359.5119934082031,377.69500732421875,357.8590087890625,375.1809997558594,30901200,401.10311530618105,24.712877603932252,450.52887051404554,351.67736009831657,0,-0.04148536263261304,-0.0,0.786103770332167,1.0
2014-10-04,328.8659973144531,364.48699951171875,325.885986328125,359.8919982910156,47236500,397.0899420844184,29.405804008612765,455.9015501016439,338.2783340671929,1,-0.08524332054467354,-0.0,0.7190936746563658,1.0
2014-10-05,320.510009765625,341.8009948730469,289.2959899902344,328.9159851074219,83308096,393.0594193307977,33.54578226009397,460.15098385098565,325.96785481060977,0,-0.025408487399317115,-0.025408487399317115,0.7008225920849308,0.9745915126006829
2014-10-06,330.0790100097656,345.1340026855469,302.55999755859375,320.3890075683594,79011800,389.91039886474607,35.558666494357524,461.0277318534611,318.79306587603105,0,0.02985554258083245,0.0,0.7217460308245318,0.9745915126006829
2014-10-07,336.18701171875,339.24700927734375,320.48199462890625,330.5840148925781,49199900,383.85304870605466,33.74079601871335,451.3346407434814,316.37145666862796,0,0.018504665621736027,0.0,0.735101699788755,0.9745915126006829
2014-10-08,352.94000244140625,354.364013671875,327.18798828125,336.1159973144531,54736300,380.2780487060547,32.99369008206582,446.2654288701863,314.290668541923,0,0.04983235561959076,0.0,0.7717335491091938,0.9745915126006829
2014-10-09,365.0260009765625,382.72601318359375,347.68701171875,352.74798583984375,83641104,378.78954925537107,32.975772484399634,444.74109422417035,312.8380042865718,0,0.03424377642532228,0.0,0.7981606202248095,0.9745915126006829
2014-10-10,361.56201171875,375.0669860839844,352.9630126953125,364.68701171875,43665700,376.42245025634764,32.39434250505642,441.2111352664605,311.6337652462348,0,-0.009489705523839986,-0.0,0.7905863109781506,0.9745915126006829
2014-10-11,362.29901123046875,367.1910095214844,355.95098876953125,361.36199951171875,13345200,374.5963500976562,32.093250740368966,438.7828515783942,310.4098486169183,0,0.002038376510340001,0.0,0.7921978235438448,0.9745915126006829
2014-10-12,378.54901123046875,379.4330139160156,356.1440124511719,362.6059875488281,17552800,373.4162002563477,31.454237677950626,436.32467561224894,310.5077249004464,0,0.04485245473017008,0.0,0.8277298405616844,0.9745915126006829
2014-10-13,390.41400146484375,397.22601318359375,368.8970031738281,377.9209899902344,35221400,371.14735107421876,28.18488790543799,427.51712688509474,314.7775752633428,0,0.03134333965318792,0.0,0.8536736580954883,0.9745915126006829
2014-10-14,400.8699951171875,411.697998046875,391.3240051269531,391.6919860839844,38491500,370.03060150146484,26.399626972735994,422.82985544693685,317.23134755599284,0,0.026781810112118443,0.0,0.8765365839043192,0.9745915126006829
2014-10-15,394.77301025390625,402.22698974609375,388.7659912109375,400.9549865722656,25267100,369.1905517578125,25.250413770803668,419.69137929941985,318.68972421620515,0,-0.015209381938149025,-0.0,0.863205004216958,0.9745915126006829
2014-10-16,382.5559997558594,398.8070068359375,373.07000732421875,394.51800537109375,26990000,368.097102355957,24.091210017374497,416.279522390706,319.91468232120803,0,-0.030946924386216934,-0.0,0.8364914642216518,0.9745915126006829
2014-10-17,383.75799560546875,385.4779968261719,375.3890075683594,382.7560119628906,13600700,367.3090026855469,23.25237435706712,413.8137513996811,320.80425397141266,0,0.0031420128043384565,0.0,0.839119731112956,0.9745915126006829
2014-10-18,391.4419860839844,395.1579895019531,378.97100830078125,383.97601318359375,11416800,368.0220520019531,23.7836311761982,415.58931435434954,320.4547896495567,0,0.02002301076852442,0.0,0.855921434525112,0.9745915126006829
2014-10-19,389.5459899902344,393.9389953613281,386.4570007324219,391.2539978027344,5914570,368.7260009765625,24.219938222921837,417.16587742240614,320.28612453071884,0,-0.004843619645193642,-0.0,0.8517756766501039,0.9745915126006829
2014-10-20,382.8450012207031,390.0840148925781,378.25201416015625,389.2309875488281,16419000,368.52105102539065,24.074569815090552,416.67019065557173,320.37191139520957,0,-0.01720204787552615,-0.0,0.8371233906811602,0.9745915126006829
2014-10-21,386.4750061035156,392.64599609375,380.8340148925781,382.4209899902344,14188900,368.66405181884767,24.17722051132989,417.01849284150745,320.3096107961879,0,0.009481656731152865,0.0,0.8450607073132177,0.9745915126006829
2014-10-22,383.1579895019531,388.57598876953125,382.2489929199219,386.1180114746094,11641300,369.06835174560547,24.356956445247874,417.7822646361012,320.3544388551097,0,-0.00858274545359361,-0.0,0.8378077663695146,0.9745915126006829
